DPTO_NCDGO;DPTO_CNMBR;VGV_NVALOR
5;Antioquia;0
8;Atlántico;0
11;Bogotá, D.C.;0
13;Bolívar;0
15;Boyacá;0
17;Caldas;0
18;Caquetá;0
19;Cauca;0
20;Cesar;0
23;Córdoba;0
25;Cundinamarca;0
27;Chocó;0
41;Huila;0
44;La Guajira;0
47;Magdalena;0
50;Meta;0
52;Nariño;0
54;Norte de Santander;0
63;Quindio;0
66;Risaralda;0
68;Santander;0
70;Sucre;0
73;Tolima;0
76;Valle Del Cauca;0
81;Arauca;0
85;Casanare;0
86;Putumayo;0
88;Archipiélago de San Andrés, Providencia y Santa Catalina;0
91;Amazonas;0
94;Guainía;0
95;Guaviare;0
97;Vaupés;0
99;Vichada;0