PDET_NCDGO;PDET_CNMBR;VGV_NVALOR
100;PDET Alto Patía-Norte del Cauca;0
200;PDET Arauca;0
300;PDET Bajo Cauca-Nordeste Antioqueño;0
400;PDET Catatumbo;0
500;PDET Chocó;0
600;PDET Cuenca del Caguán y Piedemonte Caqueteño;0
700;PDET Macarena-Guaviare;0
800;PDET Montes de María;0
900;PDET Pacífico Medio;0
1000;PDET Pacífico y frontera Nariñense;0
1100;PDET Putumayo;0
1200;PDET Sierra Nevada-Perijá;0
1300;PDET Sur de Bolívar;0
1400;PDET Sur de Córdoba;0
1500;PDET Sur del Tolima;0
1600;PDET Urabá Antioqueño;0